開催日,開場時間,開始時間,会場
2021年11月13日(土),19:00開場,20:00開始,"
                          アメリカ・San Jose Civic（カルフォルニア州サンノゼ）                           "
2021年11月13日(土),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
2021年11月14日(日),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
2021年11月15日(月),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
2021年11月17日(水),17:30開場,18:30開始,"
                          富山・富山産業展示館・テクノホール西館                           "
2021年11月18日(木),17:30開場,18:30開始,"
                          長野・長野運動公園総合体育館                           "
2021年11月19日(金),17:30開場,18:30開始,"
                          長野・松本平広域公園（信州スカイパーク）体育館                           "
2021年11月21日(日),14:30開場,16:00開始,"
                          愛知・愛知県体育館（ドルフィンズアリーナ）                           "
2021年11月23日(火),16:30開場,18:00開始,"
                          神奈川・カルッツかわさき                           "
2021年11月24日(水),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
2021年11月27日(土),16:30開場,18:00開始,"
                          神奈川・藤沢市秋葉台文化体育館                           "
2021年11月28日(日),14:30開場,16:00開始,"
                          千葉・東金アリーナ　                           "
2021年11月29日(月),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
2021年11月30日(火),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
2021年12月2日(木),17:30開場,18:30開始,"
                          埼玉・ウイング・ハット春日部                           "
2021年12月3日(金),17:30開場,18:30開始,"
                          埼玉・所沢市民体育館・メインアリーナ                           "
2021年12月4日(土),17:30開場,18:30開始,"
                          山梨・アイメッセ山梨                           "
2021年12月5日(日),14:00開場,15:00開始,"
                          静岡・ツインメッセ静岡　南館                           "
2021年12月7日(火),17:30開場,18:30開始,"
                          岡山・ジップアリーナ岡山                            "
2021年12月8日(水),18:00開場,19:00開始,"
                          愛媛・八幡浜市民スポーツセンター                           "
2021年12月9日(木),18:00開場,19:00開始,"
                          愛媛・アイテムえひめ                           "
2021年12月11日(土),16:00開場,17:00開始,"
                          兵庫・アクリエひめじ                           "
2021年12月12日(日),15:30開場,17:00開始,"
                          広島・広島グリーンアリーナ                           "
2021年12月15日(水),17:00開場,18:30開始,"
                          東京・両国国技館                           "
2021年11月14日(日),10:00,(JST)開始,"
                          非公開                           "
2021年11月15日(月),18:00開場,19:00開始,"
                          アメリカ・Riverside Municipal Auditorium（カルフォルニア州リバーサイド）                           "
2021年12月21日(火),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
2021年12月22日(水),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
2021年12月23日(木),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
2021年12月24日(金),17:30開場,18:30開始,"
                          東京・後楽園ホール                           "
